url,title,h1,meta_description,best_anchor_text,importance,current_traffic
https://rencore.com/en/blog/microsoft-365-copilot-studio-difference-comparison,Copilot for Microsoft 365 vs. Copilot Studio: What's the difference?,Copilot for Microsoft 365 vs. Copilot Studio: What's the difference?,"Discover the differences between Copilot for Microsoft 365 & Copilot Studio, and how Rencore Governance ensures secure and efficient use of these AI tools.",,A,2990
https://rencore.com/en/company/contact-us,Contact Us,Let’s talk,,Contact Rencore,B,0
https://rencore.com/de/features/adoption,Erfolgreiche Einführung - Rencore Governance,Erfolgreiche Adoption,,Contact Rencore,B,0
https://rencore.com/en/blog/using-sharepoint-migration-assessment-tool-smat,Using the SharePoint Migration Assessment Tool (SMAT),Using the SharePoint Migration Assessment Tool (SMAT),"Over the past couple of years, Microsoft has slowly started releasing features, services, and even tools that help in migrating to Office 365. For those […]",,B,58
https://rencore.com/en/blog/5-things-to-remember-when-migrating-to-office-365,5 things to remember when migrating to Office 365,5 things to remember when migrating to Office 365,"Many companies are thinking about moving to the Cloud, and this includes SharePoint clients. Microsoft is pushing the advantages of Office 365 to its customers, […]",,B,46
https://rencore.com/en/copilot-agent-governance,"AI Governance Software for Copilot, Agents and Microsoft 365 - Rencore",The AI governance software designed for Microsoft 365 Copilot & Agent control,"Govern AI agents, Copilot, and embedded AI tools across Microsoft 365 and beyond. Ensure visibility, policy control, and audit readiness. Try now for free!",Copilot governance,A,2
https://rencore.com/de/copilot-agent-governance,KI-Governance für Microsoft 365 | Steuern Sie Copilot und Agenten | Rencore,KI-Governance-Software zur Steuerung von Microsoft 365 Copilot & Agenten,"Optimieren Sie Ihre KI-Governance in Microsoft 365 mit Rencore. Gewährleisten Sie Compliance, Kontrolle und Kostentransparenz für Copilot und KI-Agenten.",Copilot governance,B,0
https://rencore.com/en/blog/microsoft-azure-active-directory-azure-ad,Everything you need to know about Microsoft Azure Active Directory,Everything you need to know about Microsoft Azure Active Directory,This blog highlights the benefits Azure AD provides to all users in an organization and offers a guide on managing M365 users with Azure AD.,,B,36
https://rencore.com/de/service/microsoft-copilot-studio-governance,Copilot Agent Governance Automatisieren | IT-Sicherheit und Compliance Optimieren | Rencore,Verwalten Sie Ihre Custom Copilots. Verhindern Sie Oversharing und Wildwuchs.,Verwalten Sie Ihre Custom Copilots mit Rencore Governance. Automatisieren Sie Sicherheitsrichtlinien und optimieren Sie den Lebenszyklus für effektive und sichere Nutzung.,Copilot Studio governance,B,0
https://rencore.com/en/use-case/declutter-microsoft-365,Declutter Microsoft 365,Declutter your Microsoft 365 tenant,Declutter your Microsoft 365 tenant and keep it free of cloud sprawl with platform lifecycle management checks in Rencore Governance.,Declutter Microsoft 365,A,0
