url,title,meta_description,importance
https://www.meistertask.com/,MeisterTask | Work Management & Task Management Software,"MeisterTask is the work management software teams love. Centralize tasks, projects, and documentation in one secure platform. Start free today.",A
https://www.meistertask.com/de,Das Projektmanagement Tool | Made in Germany | MeisterTask,"MeisterTask ist das intuitive Projektmanagement Tool aus Deutschland mit Kanban-Boards & Zeitplänen. Made in Germany, ISO 27001 – jetzt kostenlos starten.",A
https://www.meistertask.com/de/pricing,Preise | MeisterTask | Projektmanagement Tool,Entdecken Sie die Preispläne von MeisterTask. Maximieren Sie die Effizienz Ihres Teams mit Lösungen für Projektmanagement.,A
https://www.meistertask.com/en/pricing,Pricing | MeisterTask | Workmanagement Software,Discover MeisterTask pricing plans. Maximize your team's efficiency with tailored work management solutions.,A
https://www.meistertask.com/pages/bundle,MeisterTask Bundle: 30% Sparen | Projektmanagement,"Sparen Sie 30% mit dem MeisterTask Bundle. Bündeln Sie Projektmanagement, Aufgabenverwaltung und Dokumentation in einem günstigen Paket für Ihr Team.",A
https://www.meistertask.com/pages/business,MeisterTask Business | Work Management at Scale,MeisterTask for Business combines simplicity with flexibility for collaboration at scale. Maximize efficiency and save where it counts — with real results.,A
https://www.meistertask.com/pages/de/bundle,MeisterTask | Bundle,Sparen Sie 30% mit dem MeisterTask Bundle,A
https://www.meistertask.com/pages/de/business,MeisterTask Business | Projektmanagement für Teams,MeisterTask Business bietet Teams flexible Zusammenarbeit im großen Stil. Maximale Effizienz und Einsparungen — für messbare Ergebnisse in Ihrer Organisation.,A
https://www.meistertask.com/pages/de/guides,Leitfäden | MeisterTask | Projektmanagement,"Von besserer Teamarbeit bis zu schlauerem Projektmanagement – entdecken Sie Expert:innen-Leitfäden voller umsetzbarer Tipps, Vorlagen, Fallstudien und mehr.",A
https://www.meistertask.com/pages/de/kanban-board,Kostenloses Online-Kanban-Board für Teams | MeisterTask,Visualisieren Sie Arbeitsabläufe mit dem Kanban-Board von MeisterTask. Steigern Sie die Teamproduktivität und unterstützen Sie agiles Projektmanagement.,A
https://www.meistertask.com/pages/de/product-tour,MeisterTask Produkt-Tour | Arbeitsmanagement-Plattform,"Entdecken Sie MeisterTask: die Arbeitsmanagement-Plattform für tägliche Teamarbeit. Von Projektplanung bis Dokumentation — einfach, sicher und zentral.",A
https://www.meistertask.com/pages/de/project-management,Projektmanagement-Tool für Teams | MeisterTask,"MeisterTask ist das einfache, sichere Projektmanagement-Tool für Teams. Verwalten Sie Projekte, Aufgaben und Dokumentation zentral an einem Ort.",A
